flow,pkts,bytes,dur,pps,mean_size,std_size,min_iat,mean_iat,syn,ack,fin,rst,syn_frac,bidir,proto,dport,label
"('4', '10.152.60.92', 62524, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 12617, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 23343, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 6561, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 34996, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 39524, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 30607, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 28354, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 63711, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 56574, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 39284, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 25334, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 13101, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 9626, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 49156, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 9437, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
